,Course Number,Course Title,Course Description,Terms,Units,Instructors
371,POLECON 349:,The Business World: Moral and Spiritual Inquiry through Literature,"This course uses novels and plays as a basis for examining the moral and spiritual aspects of business leadership and of the environment in which business is done. On the one hand literature is used as the basis for examining the character of business people, while on the other hand literature provides illumination of the cultural contexts of values and beliefs within which commercial activities take place in a global economy. The course is organized around the interplay of religious traditions and national identities. Classes are taught in a Socratic, discussion-based style, creating as much of a seminar atmosphere as possible. A two-text method is used, encouraging students to examine their own personal stories with as much care as the stories presented in the literature. This course will be graded on the basis of class participation, weekly reflection papers (1 page), and a final paper. There will be no exam.",Last offered: Spring 2021,3,
372,POLECON 351:,"Global Business, Religion, and National Culture","What does one need to know about Islam to do business effectively in an Arab country?  How can understanding the Protestant ethic help Mexican managers deal with U.S. partners?  How does Confucianism influence Chinese business ethics?  What are the business advantages of knowing how different countries rate on the spectrum of individualist versus communitarian values?  These are the kinds of issues discussed in this course, which seeks to help students who will be engaged in international business during their careers.  It aims to examine the deeper levels of attitudes and beliefs, often unconscious, which lie beneath the way business is done in various countries.  Information will be provided on major religious and philosophical traditions like Confucianism, Shinto, Buddhism, Hinduism, Islam, Judaism, and Christianity.  Some cross-cultural frameworks will also be considered. Case studies and background readings are set in nations like China, Japan, India, the United Arab Emirates, Israel, Mexico and the United States.  The class will be discussion-based, drawing on students¿ own life experiences as well as the cases and readings.  The hope is to provide a competitive advantage, both theoretically and practically, to students through understanding certain unspoken rules of the game in global business.",Win,3,"; McLennan, S. (PI); Lion-Transler, C. (GP)"
373,POLECON 383:,Managing Politically Conflictual Environments,"We live increasingly in a world of political polarization and conflict. Disagreements, often violent, dramatically shape the challenges and opportunities that leaders face, whether it be while managing diverse teams to addressing the future of the planet.So what can we do about it? In this course, participants will consider a series of decision-making challenges that leaders of organizations have faced in societies divided by political polarization and conflict. We will combine examples drawn from around the world, with insights distilled from the newest research conducted in economics, political science, social psychology and sociology on how to address these issues. This includes work conducted by us at the Stanford Conflict and Polarization Lab. By the end of the course, participants will develop a new set of tools for managing organizations in societies divided by political polarization and conflict, as well as for leaders seeking new approaches to address conflict and polarization directly.",Last offered: Spring 2023,3,
374,POLECON 515:,"Energy: Innovation, Policy & Business Strategy","The energy industry is undergoing dramatic technological and market change. The industry is, however, highly regulated, and this shapes which innovations make it to market and which business models succeed. In this class we will explore developments in the energy industry, particularly focused around the electricity grid, and study how innovators and entrepreneurs can harness new technology to build successful businesses and change the energy landscape. Each class will address a particular business challenge through a mix of case discussion, frameworks, and guest speakers. The course is led by Steve Callander and Josh Richman.",Spr,2,"; Callander, S. (PI); Richman, J. (SI); Long, M. (GP)"
375,POLECON 531:,"The Future of Cities: Entrepreneurship, Policy & Business Strategy","Cities are where billions of people live and they are the engine for innovation and economic growth. They are also going through enormous change and battling with fundamental problems, like housing, transportation, urban planning, the environment, safety, transparency and more. Innovation offers the promise of exciting solutions. But for that change to happen, it must serve the interests of the people who live in a city and overcome the challenges of politics and policymaking. The class will focus on this intersection. We will analyze cities as a distinct phenomenon, look at what is possible technologically, and explore how change can be made to happen. The class will consist of a combination of case studies, guest speakers, and class discussion. It will be led by Steve Callander, GSB Professor of Political Economy, and Shireen Santosham, former CIO of the City of San Jose.",Spr,2,"; Callander, S. (PI); Santosham, S. (SI); Long, M. (GP)"
376,POLECON 549:,The Business World: Moral and Spiritual Inquiry through Literature,"This course uses short stories, novels and plays as a basis for examining the moral and spiritual aspects of business leadership and of the environment in which business is done. On the one hand literature is used as the basis for examining the character of business people, while on the other hand literature provides illumination of the cultural contexts of values and beliefs within which commercial activities take place in a global economy. The course is organized around the interplay of religious traditions and national identities. Classes are taught in a Socratic, discussion-based style, creating as much of a seminar atmosphere as possible. A two-text method is used, encouraging students to examine their own personal stories with as much care as the stories presented in the literature. This course will be graded on the basis of class participation, weekly reflection papers (1 page), and a final paper. There will be no exam. Course previously offered as POLECON 349.",Spr,2,"; McLennan, S. (PI); Lion-Transler, C. (GP)"
377,POLECON 652:,Political Economy I,"This course provides an introduction to empirical and theoretical research in political economy, focusing on issues in democracies. Topics include institutional foundations, accountability and electoral incentives, candidate positioning, voter behavior, polarization, media and political communication, redistribution, special interests and lobbying, immigration, and populism.",Last offered: Spring 2024,4,
378,POLECON 660:,Behavioral Political Economy,"This course studies the cognitive scientific foundations of political economy. It builds on the explosion of research in cognitive psychology, evolutionary anthropology, and allied fields over the last few decades to provide perspectives on political beliefs and behavior that are not tweaks on theories of complete rationality; they are distinct ideas with their own premises of how humans think, plan, and decide. These premises do not posit that we are irrational. Such claims are wildly off the mark; they cannot explain how we have become the dominant species on this planet. Instead, they describe a clever but computationally constrained primate whose evolution, cultural as well as biological, has produced a characteristic configuration of mental software and external symbol systems (writing, numbers). The representational and computational capacities of this software and these symbol systems, combined with our unusual ability to cooperate with unrelated strangers, has in a remarkably short time produced massive knowledge-intensive political institutions that can deploy nuclear-powered aircraft carriers and can use epidemiology and molecular genetics to combat epidemics. Such achievements warrant explanations. In short, we are boundedly rational, but that's only half the story; we're also really really clever problem-solvers. This course explores theories that explain both halves in a unified way.",Last offered: Spring 2023,3,
379,POLECON 661:,Political Economy Research Workshop,Workshop for in-progress work by doctoral students in the PE program. Students present work and get feedback from other students and the faculty instructor.,"Aut, Win, Spr",1,"; Harstad, B. (PI); Jha, S. (PI); Martin, G. (PI); Flores-Solano, J. (GP); Long, M. (GP); Woodhall, E. (GP)"
380,POLECON 662:,The Political Economy of American Elections,"This class will survey classic and contemporary research into the political economy of American elections, including core topics such as ideological positioning and representation, the incumbency advantage, democratic accountability, and campaign finance. Students will be asked to carry out replications of published papers and to work on a research paper of their own. This class is aimed at Ph.D. students interested in the study of American politics. Prerequisites are econometrics and causal inference, intro grad micro, and formal theory, as offered in the Econ, Polisci, or GSB grad programs.",Aut,3,"; Hall, A. (PI); Yan, J. (GP)"
381,POLECON 680:,Foundations of Political Economy,"This course provides an introduction to political economy with an emphasis on formal models of collective choice, public institutions, and political competition. Topics considered include voting theory, social choice, institutional equilibria, agenda setting, interest group politics, bureaucratic behavior, and electoral competition. Also listed as Political Science 351A.",Aut,3,"; Callander, S. (PI); Long, M. (GP)"
382,POLECON 681:,Economic Analysis of Politics,"This course extends the foundations developed in P680 by applying techniques of microeconomic analysis and game theory to the study of political behavior and institutions. The techniques include information economics, games of incomplete information, sequential bargaining theory, repeated games, and rational expectations. The applications considered include agenda formation in legislatures, government formation in parliamentary systems, the implications of legislative structure, elections and information aggregation, lobbying, electoral competition and interest groups, the control of bureaucracies, interest group competition, and collective choice rules.",Win,3,"; Shotts, K. (PI); Lion-Transler, C. (GP)"
383,POLECON 682:,Workshop on Institutional Theories and Empirical Tests in Political Economy,"POLECON 682 is the third course in the graduate political economics core sequence, intended for PhD students in political economics, political science, and economics. The focus of the course is on taking concepts and predictions from abstract formal models of politics to concrete empirical settings. Initial sessions investigate the relationship between theory and empirical work, with specific focus on the role of theory amid the ¿credibility revolution¿ of empirical economics and political science. Later sessions work through a toolkit for empirical research, with in-depth analysis of leading examples of each. The general focus will be on the measurement of latent variables that are important in formal theories of politics - such as ideological preferences, party pressure, and valence or competence - from observable data, and on the estimation of ""deep"" parameters that appear in formal models. Students should have taken at least POLECON 680 and preferably also POLECON 681. POLECON 682 is also listed as POLISCI 351C.",Spr,3,"; Martin, G. (PI); Long, M. (GP)"
384,POLECON 683:,Political Development Economics,"There is a growing awareness that many of the key challenges in fostering development in poor societies are political challenges. What can we do to encourage trade, cooperation and peace in environments riven with social and ethnic divisions? How do we foster broadly beneficial political reforms and good governance when the potential losers to reforms are able to mobilise to prevent them?  How do we detect and mitigate the effects of corruption? What role may modern finance play in creating or mitigating political economy challenges in developing countries?These problems are modern and endemic, but many are also old problems, and economic theory and the practical experiences of different countries have much to tell us both about what has worked in the past, and what policy experiments we may try in new environments. Rather than a survey, the objective of this course is to selectively discuss new and open research areas in political development economics and the theoretical and empirical tools necessary to contribute to them, with the topics chosen to complement other Stanford courses in applied microeconomics, development, political economics and economic history. By the end of the course, the student will have analysed a theoretical or historical solution to a key political development challenge and proposed a natural or field experiment to test it empirically. Graduate level proficiency in microeconomics and empirical methods will be required.",Spr,3,"; Jha, S. (PI); Woodhall, E. (GP)"
385,POLECON 691:,"PhD Directed Reading (ACCT 691, FINANCE 691, GSBGEN 691, HRMGT 691, MGTECON 691, MKTG 691, OB 691, OIT 691, STRAMGT 691)","This course is offered for students requiring specialized training in an area not covered by existing courses. To register, a student must obtain permission from the faculty member who is willing to supervise the reading.","Aut, Win, Spr, Sum",1-15,"; Bendor, J. (PI); Callander, S. (PI); Casey, K. (PI); Foarta, D. (PI); Hall, A. (PI); Harstad, B. (PI); Jha, S. (PI); Kessler, D. (PI); Malhotra, N. (PI); Martin, G. (PI); Rice, C. (PI); Shotts, K. (PI); Long, M. (GP); Rivera, S. (GP); Yan, J. (GP)"
386,POLECON 692:,"PhD Dissertation Research (ACCT 692, FINANCE 692, GSBGEN 692, HRMGT 692, MGTECON 692, MKTG 692, OB 692, OIT 692, STRAMGT 692)","This course is elected as soon as a student is ready to begin research for the dissertation, usually shortly after admission to candidacy. To register, a student must obtain permission from the faculty member who is willing to supervise the research.","Aut, Win, Spr, Sum",1-15,"; Bendor, J. (PI); Callander, S. (PI); Casey, K. (PI); Foarta, D. (PI); Hall, A. (PI); Harstad, B. (PI); Jha, S. (PI); Kessler, D. (PI); Malhotra, N. (PI); Martin, G. (PI); Rice, C. (PI); Shotts, K. (PI)"
387,POLECON 698:,Doctoral Practicum in Teaching,Doctoral Practicum in Teaching,"Aut, Win, Spr, Sum",1,"; Bendor, J. (PI); Callander, S. (PI); Casey, K. (PI); Foarta, D. (PI); Hall, A. (PI); Harstad, B. (PI); Jha, S. (PI); Kessler, D. (PI); Malhotra, N. (PI); Martin, G. (PI); Rice, C. (PI); Shotts, K. (PI); Long, M. (GP)"
388,POLECON 699:,Doctoral Practicum in Research,Doctoral Practicum in Research,"Aut, Win, Spr, Sum",1,"; Bendor, J. (PI); Callander, S. (PI); Casey, K. (PI); Foarta, D. (PI); Hall, A. (PI); Harstad, B. (PI); Jha, S. (PI); Kessler, D. (PI); Malhotra, N. (PI); Martin, G. (PI); Rice, C. (PI); Shotts, K. (PI); Lion-Transler, C. (GP); Long, M. (GP); Rivera, S. (GP); Woodhall, E. (GP)"
389,POLECON 802:,"TGR Dissertation (ACCT 802, FINANCE 802, GSBGEN 802, HRMGT 802, MGTECON 802, MKTG 802, OB 802, OIT 802, STRAMGT 802)",,"Aut, Win, Spr, Sum",0,"; Bendor, J. (PI); Callander, S. (PI); Casey, K. (PI); Foarta, D. (PI); Hall, A. (PI); Harstad, B. (PI); Jha, S. (PI); Kessler, D. (PI); Malhotra, N. (PI); Martin, G. (PI); Rice, C. (PI); Shotts, K. (PI); Flores-Solano, J. (GP); Lion-Transler, C. (GP); Long, M. (GP); Rivera, S. (GP); Woodhall, E. (GP)"
390,STRAMGT 202:,Strategic Leadership: Crafting and Leading Strategy,"This course is about the process of crafting, assessing and implementing strategies to win in the market. It is designed to help you understand, shape, and lead your organization's strategy by providing you with a framework for thinking about the issues that shape your organization's economic prosperity. In addition to an analytical framework, the course will provide you with insight into the process of formulating and assessing strategy for roles with cross-functional responsibility at all levels. The emphasis will be on how to articulate what the organization's strategy is, how to create alignment between the strategy, organizational design, and market environment, and the process of growing, managing and transforming organizations. The course is particularly well suited for students who have limited exposure to strategic analysis and/or who anticipate pursuing roles with primary responsibility for the success of products and services in both new and established organizations.",Last offered: Winter 2024,2,
391,STRAMGT 210:,Managerial Skills,"In the Managerial Skills Labs we examine several common managerial challenges faced by executives. Together with Faculty, students explore these topics using five case examples, each asking students to evaluate a series of situations, develop alternatives for their resolution, and ultimately recommend and implement a course of action from the point of view of the company's owner/manager. We have selected small to midsized businesses as the context for these discussions in order to highlight the impact that key decisions and their implementation can have on the broader organization. Class preparation should include not only analysis and conclusions, but also specific recommendations on implementation. Students should come to class prepared to role play important conversations between management and other key individuals.",Last offered: Autumn 2022,1,
392,STRAMGT 302:,Systems Leadership,"Leaders of today live in an increasingly uncertain world, and the challenges of the times are drastic. At some level, all leadership right now is crisis leadership - getting one's team and organization through unprecedented times. Sometimes the ability to lead through these changes is due to talent; other times, luck plays the more important role. Technological and political changes are upending assumptions and conventional wisdoms that have guided the world for decades. Tomorrow's business leaders need to navigate multiple dimensions and horizons in order to guide their organizations to success: they need to excel in strategy and execution, understanding details and context, navigating digital and physical, and many other dualities. This course explores how leaders at the world's leading companies are driving frame-breaking transformational change inside of organizations that have grown up with a physical foundation, or who have a digital foundation and are moving into the physical domain as a new entrant. The issues facing business leaders across multiple industries require insights on how to drive technological, cultural and ecosystem changes under unprecedented duress. The changes brought about by these dynamics require the development of new types of leaders which we call Systems Leaders. These people seek to maximize and thrive in the chaos of the times. Systems Leaders are adept at systems thinking - in having the ability to analyze the complexity in markets and organizations by paying attention to how the component parts interrelate to each other. The course will delve into the need for systems thinking at multiple levels - of products, organizations, cultures and individuals. By systems thinking we mean having a thorough understanding of how customer success is optimized by knowing how all of the elements of an organization work with both internal and external constituents. This course is a 3-unit version of STRAMGT 502.",Last offered: Spring 2023,3,
393,STRAMGT 308:,Entrepreneurship from Diverse Perspectives,"This seminar showcases the diversity of entrepreneurs and the range of entrepreneurial paths they pursue. Thirty-five entrepreneurs and venture capitalists, primarily from historically underestimated groups (HUGs), will share their personal and professional journeys, and how each embodies the entrepreneurial mindset. Candid class discussions and an experiential project, complemented by case studies, readings, and videos, will immerse you in the entrepreneurial process. This includes finding an idea and forming and building a team, evaluating existing ideas or early businesses, being an inclusive leader, raising money, assembling a board, and overcoming setbacks and challenges. The individual project is to profile a founder or venture capitalist from a HUG and how they embody the entrepreneurial mindset. For the group project, teams will have the option of working on an idea for a company, or assessing a company using the venture investment framework taught during the class.",Aut,3,"; Mandelbaum, F. (PI); Hudson, C. (SI); Kankolongo Ngoba, N. (GP)"
394,STRAMGT 309:,Strategies of Effective Product Management,"This course focuses on the strategic decision-making skills essential for Product Leaders. It emphasizes high-level choices that drive product success, from developing a compelling product strategy to prioritization, roadmapping, and aligning with company goals. Throughout the course, students will engage in case studies, exercises, and discussions with industry-leading guest lecturers on critical product decisions. Examples include new product development, market expansion, feature prioritization, and structuring a product organization. In addition, we will explore how product management adapts across different product types, company sizes and stages, and the role of cross-functional collaboration with engineering, design, sales, and marketing. Ultimately, students will develop tools to think strategically about product; preparing them to make impactful decisions that drive growth and innovation in a product organization.",Win,3,"; Goldberg, S. (PI); Moon, L. (SI); Garcia, C. (GP)"
395,STRAMGT 319:,Equity By Design: Building Diverse and Inclusive Organizations,"This course equips you to create and build equitable organizations. We will discuss the power of inclusion as it relates to the employee and customer experience.  We will study effective strategies for building diverse and inclusive companies, and will address the barriers that can often exist. We'll look at approaches to organizational design that limit unconscious bias and produce more objective decisions across the employee experience - from engaging and hiring candidates to retaining employees and helping them thrive.  Finally, we'll dive into how to create inclusive cultures and a sense of belonging. Experts in diversity and inclusion, and executives at companies that have successfully incorporated inclusion programs, will join us for the class discussions.",Last offered: Spring 2021,3,
396,STRAMGT 321:,Create a New Venture: From Idea to Launch I,"S321/S322 is an integrated lab course in Entrepreneurship designed to teach students the process of creating a new viable venture - from Idea to Launch.  It is a dynamic and interactive course organized around projects undertaken by teams of 3 to 4 registered students from the MSx and MBA programs, together with other graduate students from within Stanford who bring expertise of particular relevance to the idea being pursued, e.g. engineering, CS or medicine. This course is designed not only for students with immediate entrepreneurial aspirations but also for any student considering starting an entrepreneurial venture at some point in his or her career.  The course is a two-quarter class, with admission to the class by team and idea. In the winter quarter, teams will research, craft, test and morph their idea into a viable business concept. In the spring quarter, they will further test, refine their concept and develop a strategy and plan to attract financial, human and other resources. At the end of the spring quarter, teams will present their plan to a panel of experts and potential investors to simulate the funding process.  The course builds on important research, successes, and findings as they relate to the process of new venture creation. The teaching method is through a structured process of relevant mini-lectures, exercises and active in-depth team learning by doing (LBD). Extensive field research and prototype product development are integral to the course. Learning is further enhanced through meetings with the instructor, coaching by their assigned experienced mentors, experts, and review by peers.  Informal student meetings/mixers will be held in the autumn quarter to further facilitate the formation of teams and assist in idea generation. The application process for S321/322,-Create A New Venture: from Idea to Launch- is described on the course website.",Last offered: Spring 2021,3,
397,STRAMGT 322:,Create a New Venture: From Idea to Launch II,"S321/S322 is an integrated lab course in Entrepreneurship designed to teach students the process of creating a new viable venture - from Idea to Launch.  It is a dynamic and interactive course organized around projects undertaken by teams of 3 to 4 registered students from the MSx and MBA programs, together with other graduate students from within Stanford who bring expertise of particular relevance to the idea being pursued, e.g. engineering, CS or medicine. This course is designed not only for students with immediate entrepreneurial aspirations but also for any student considering starting an entrepreneurial venture at some point in his or her career.  The course is a two-quarter class, with admission to the class by team and idea. In the winter quarter, teams will research, craft, test and morph their idea into a viable business concept. In the spring quarter, they will further test, refine their concept and develop a strategy and plan to attract financial, human and other resources. At the end of the spring quarter, teams will present their plan to a panel of experts and potential investors to simulate the funding process.  The course builds on important research, successes, and findings as they relate to the process of new venture creation. The teaching method is through a structured process of relevant mini-lectures, exercises and active in-depth team learning by doing (LBD). Extensive field research and prototype product development are integral to the course. Learning is further enhanced through meetings with the instructor, coaching by their assigned experienced mentors, experts, and review by peers.  Informal student meetings/mixers will be held in the autumn quarter to further facilitate the formation of teams and assist in idea generation. The application process for S321/322, 'Create A New Venture: from Idea to Launch' is described on the course website.",Last offered: Autumn 2021,3,
398,STRAMGT 325:,Impact: From Idea to Enterprise,"This class is for students who want start or work at an impact venture, or to invest in or grant to such an enterprise. The class deals with situations from the perspective of the entrepreneur/manager, and the funder. Students will: -- Learn to evaluate impact and business opportunities in social enterprises -- Understand the potential tension between impact and revenue/profit in impact enterprises and how to manage it -- Start, grow, and manage a team and a board of directors for a social enterprise -- Become versed in the landscape of impact funders -- Be introduced to how entrepreneurs create social change -- Be exposed to the personal journeys and careers of impact entrepreneurs. For purposes of this course an impact venture is an organization whose mission is to provide a sustainable solution to a social problem. -- The focus on mission makes impact enterprises different in kind from commercial enterprises. That said, it is the instructors' views that, in most ways, impact ventures should be treated and managed like commercial ventures, and this course reflects this perspective. Even so, there are some important differences which are critical to understand to effectively launch, manage or fund an impact enterprise. We will highlight these throughout our sessions. All the cases and class discussions will be exclusively about enterprises and organizations in the impact venture space, some for-profit, and some non-profit, but all run more or less like commercial businesses, e.g., the enterprise focus is on delivering solutions for 'customers' or 'recipients' to solve a social problem, create value and generating revenue (and/or profit). Impact: From Idea to Enterprise is integrative and will allow students to apply many facets of their business school education. We will have a mixture of case discussions, lectures, student-led exercises, panel discussions, and guest speakers. The final project involves engagement with a current impact venture and its management. The instructors, Laura Hattendorf and Russell Siegelman, are both Lecturers in Management at GSB with practical experience in the startup and impact venture space.",Win,3,"; Siegelman, R. (PI); Hattendorf, L. (SI); Alvarez, G. (GP)"
399,STRAMGT 329:,The Grand Bazaar on Clouds: Strategy for Marketplaces,"From Amazon and Apple Store to Airbnb and Uber, our day-to-day life is surrounded by marketplaces. In this class, we will analyze the economics and strategy of marketplaces. We will consider the forces that have led to the proliferation of these marketplaces, as well as the strategic choices that determine which ones succeed. We will also study the strategy of managing these marketplaces: how should matching work, how marketplace design can solve problems of congestion or market thinness, how to discover prices through auctions, and how to get feedback and design a well-functioning rating system. We will also talk about trust and safety as a key pillar of successful marketplaces. We will also learn how to design non-monetary markets that solve big social problems, such as kidney exchange, food banks, public housing, and school choice. Finally, we will discuss the regulatory challenges of these marketplaces, especially with regard to labor income and platform's monopoly power. Applications include online stores; ride-sharing and transportation; advertising and sponsored search; room-sharing and vacation rentals; creator/passion economy; B2B marketplaces; dating; and labor markets. The class will be in lecture format and will feature several guest speakers, from founders, to investors, to Nobel laureates of market design.",Spr,3,"; Akbarpour, M. (PI); Abaya, S. (GP)"
400,STRAMGT 330:,Entrepreneurship and Venture Capital: Partnership for Growth,"This course is designed for students interested in entrepreneurship, early-stage investing, and/or venture capital. The Venture capital ecosystem is going through a dramatic cycle as venture capital investment dropped by a third from 2021 into 2022, and then another third from 2022 to 2023. Together with accelerating interest in Generative AI and the aftereffects from the collapse of Silicon Valley Bank, it is a challenge for both the entrepreneur and the investor. We believe there is opportunity within that chaos and our course is designed to show you how to navigate and stand out in the current environment. Our course gives you that tactical edge with a special combination of two class projects, guest speakers and case-based instruction. You will be able to apply what you learn as we (and the guest speakers) offer candid and instant feedback. The course is fast paced with very current content. You will hear from over 15 investors and a half dozen entrepreneurs. The course is designed to complement other popular GSB courses about entrepreneurship such as Start-up Garage, Formation of New Ventures, and Lean Launchpad. Notably, students are permitted to use the same business idea in our course's team project that they use for those courses (with instructor permission). If you do not have a business idea or market sector interest, we will team you with another student with similar interests. We offer class topics that are typically not covered in other business school courses - such as how to find and use the power of early stage advisors and board members in building and funding a company, how to find that ideal co-founder and figure out the equity split amongst the founding team, and what do VCs say behind closed doors at the VC's partners' meeting after the founder gives their funding pitch? We encourage challenging and meaningful class discussion to take the guests off-script and focus on sharing the street smarts of the entrepreneur and investor community. The course attracts students from diverse backgrounds (we intentionally reserve 10 seats for graduate students from outside the GSB). Students range in experience from serial entrepreneurs to students who are experimenting with entrepreneurship for the first time. We also see students with significant investment experience share their start-up investor experience as they add to the class dynamic.",Win,3,"; Ziebelman, P. (PI); Munce, C. (SI); Sonora, P. (GP); Woodhall, E. (GP)"
401,STRAMGT 335:,Transforming Education through Entrepreneurship,"In this course, students will investigate opportunities and challenges of entrepreneurial ventures trying to increase access to educational opportunity, improve the quality of learning experiences for underserved students and disrupt systemic inequities in preK-12 education. Class discussions will explore frameworks for understanding how to maximize educational impact by ensuring efficacy, increasing financial sustainability, and building scale. Cases are focused on organizations in early childhood, primary and secondary education, and feature a variety of ventures (including schools, technology, educator training, and supplemental services) and organizational models (for-profit, not-for-profit, and benefit corporation) in the U.S. and globally. Note: This is not a ""how to"" class on starting an education venture; it focuses on the strategic challenges of maximizing impact. This course is designed for students who want to be part of creating a more equitable society and improving opportunities for youth, whether by becoming entrepreneurs, leaders, Board members, donors or investors in education organizations.  Attendance at the first class meeting is required.",Aut,3,"; Lee, G. (PI); Dubon, M. (GP)"
402,STRAMGT 340:,POWer: Building the Entrepreneurial Mindset from the Perspective of Women,"This seminar will showcase women entrepreneurs and venture capitalists. We will explore the challenges and opportunities they encountered in starting and growing their ventures, and the personal and professional choices they have made. The sessions will include cases, readings, videos, panel discussions, role plays and breakout groups with the entrepreneurs and venture capitalists. The class will help you understand and build your entrepreneurial and growth mindset.  You will leave the class with an individual roadmap and tools to help you be entrepreneurial throughout your career.  Men are encouraged to enroll.",Last offered: Winter 2021,3,
403,STRAMGT 345:,Impact: Taking Social Innovation to Scale,"How do you get the best new social innovations to reach the hundreds of millions of people who need it the most? And how do ensure that they are developed, deployed and scaled in a way that is relevant, appropriate and sustainable? Innovators tackling the world's most difficult problems often ignore, misunderstand, and under-invest in the critical business challenges involved in crossing 'the middle of the value chain.' This is innovation's valley of death: product and system adaption and evaluation; evidence generation and design validation; business and partnership planning; formal or informal regulatory approval and registration. How do you design, introduce, and optimize the intervention's uptake before it can be taken to scale by markets, governments or other systems? The class is taught be Steve Davis, Senior Advisor at McKinsey & Company, Senior Advisor at the Bill & Melinda Gates Foundation, and former CEO of PATH, IDRI, and Corbis. We take an interdisciplinary approach to look at the factors that pull innovation forward, push it from behind, and (often to the world's detriment) block its successful implementation and scaling. First grounding the discussion in research on innovation and social change, we then apply business principles, real world experiences and several important case studies in global health to examine the way good ideas get stuck, and how good ideas can turn into innovation that matters. We focus on root causes for failure, success factors, and business practices and tools to enable millions of lives to be impacted by social innovation. The seminar combines lectures, case studies, visiting practitioners and team projects focused on the business case for scaling specific social innovations. The goal is to help the next generation of social innovation leaders think more about some of the mistakes of the past, lessons for the future, and new ways of approaching old problems, all from a practitioner's point of view.",Spr,3,"; Davis, S. (PI); Davis, S. (GP)"
404,STRAMGT 351:,Building & Managing Sales Organizations,"This class focuses on the challenges and critical issues associated with the creation and management of a B2B sales organization. The course focuses on three primary themes: 1) developing a foundational understanding of sales organizations and their parts 2) selecting and implementing the right Go-to-Market (GTM) strategy for a particular business, and 3) identifying and addressing common challenges that occur while scaling a GTM organization from inception to maturity.",Win,3,"; Leslie, J. (PI); Herzberg, D. (SI); Bagalso, R. (GP)"
405,STRAMGT 353:,Entrepreneurship: Formation of New Ventures,"This course is offered for students who seek to understand the dynamics of  new ventures from the point of view of the entrepreneur/manager rather than the passive investor.  At some stage this understanding will enhance your decision making about whether to pursue a career in playing a key role in creating or building a new venture. It will also enhance your understanding if you will be negotiating with executives at new ventures. Many cases involve visitors, since the premise is that opportunity and action have large idiosyncratic components. Students must assess opportunity and action in light of the perceived capabilities of the individuals and the nature of the environments they face. The course is integrative and will allow students to apply many facets of their business school education.","Aut, Win, Spr",4,"; Ellis, J. (PI); Feinberg, Y. (PI); Foster, G. (PI); Brady, S. (SI); Nakache, P. (SI); Saloner, G. (SI); Singh, H. (SI); Alvarez, G. (GP); Bagalso, R. (GP); Fajardo Montes, M. (GP)"
406,STRAMGT 354:,Entrepreneurship and Venture Capital,"Many of America's most successful entrepreneurial companies have been substantially influenced by professionally managed venture capital. This relationship is examined from both the entrepreneur's and the venture capitalist's perspective. From the point of view of the entrepreneur, the course considers how significant business opportunities are identified, planned, and built into real companies; how resources are matched with opportunity; and how, within this framework, entrepreneurs seek capital and other assistance from venture capitalists or other sources. From the point of view of the venture capitalist, the course considers how potential entrepreneurial investments are evaluated, valued, structured, and enhanced; how different venture capital strategies are deployed; and how venture capitalists raise and manage their own funds. The course includes a term-long project where students work in teams (4-5 students per team) to write a business plan (or a business model canvas) for a venture of the team's choosing.",Win,3,"; Kupor, S. (PI); Nasr, R. (SI); Wendell, P. (SI); Sonora, P. (GP)"
407,STRAMGT 355:,Managing Growing Enterprises,"This course is offered to MBA and MSx candidates who seek to learn the primary skills of great execution (how to 'get things done'). The best strategy won't lead to success if a leader can't implement that plan effectively. The course will rely primarily on case analysis and discussion of the readings and case material. Due to the organic nature of the case method, and MGE in particular, we will employ a dynamic element to the class preparation. Prior to the next class, your instructor will direct you on what will be emphasized in the upcoming class and how best to prepare for class. This will avoid repeating material covered in prior classes, as well as respond to the interests of the classroom, which may include current events. There will be 18-19 class sessions, each one lasting either 80 or 105 minutes depending upon the section. Broad utilization will be made of case materials, background readings, and visiting experts. Throughout the course, emphasis will be placed on the application of tactical tools to increase your skills at getting things done.","Aut, Win, Spr",3,"; Andrews, C. (PI); Dodson, D. (PI); Kelly, P. (PI); Weaver, G. (PI); Dulski, J. (SI); Alvarez, G. (GP); Baxter, L. (GP); Sonora, P. (GP)"
408,STRAMGT 356:,Startup Garage: Design,"(BIOE 376 / SUSTAIN 376) Startup Garage is an intensive, hands-on, project-based course where students apply design thinking, lean startup methodology, and the Business Model Canvas to conceive, design, and field-test new business concepts that address real world needs. The big theme is, does the idea resonate with users? Teams get out of the building and interact directly with users and stakeholders, to deeply understand customer needs. They proceed to design, prototype, and test  solutions, validate the value proposition, develop a business model, and identify risks. Teams working on impact-focused ventures apply the same methodology to address the needs of their beneficiaries. Students develop entrepreneurial skills as they learn  cutting-edge techniques for testing new venture ideas. Offered by the Graduate School of Business. PREREQUISITE: Team application required. Details and application: http://startupgarage.stanford.edu/details.","Aut, Spr",4,"; Galen, D. (PI); Glickman, M. (PI); Lisbonne, B. (PI); Waldorf, G. (PI); Baker, K. (SI); Beekman, J. (SI); Chen, E. (SI); Deshpande, S. (SI); Dwane, A. (SI); Eison, J. (SI); Gur, S. (SI); Laws, M. (SI); Perkash, M. (SI); Prakash, A. (SI); Scull, J. (SI); Wallace, C. (SI); Alvarez, G. (GP); Glickman, M. (GP); Zenios, S. (GP)"
